psu_hh_idcode,subjectivePoverty_rating,hhid,q02,q03,q05,q09,q23,Q01,Q03,Q06,Q07,Q08,Q11,Q19
1_2_1,2,102,1,1,52,0,0,1,1,2.0,1.0,2.0,13.0,2.0
1_3_1,4,103,1,1,58,0,0,1,1,9.0,1.0,2.0,13.0,2.0
1_5_1,6,105,1,1,54,0,0,1,1,1.0,0.0,2.0,2.0,2.0
1_11_1,6,111,1,1,44,0,0,1,1,3.0,1.0,2.0,13.0,2.0
1_12_1,4,112,2,1,54,0,0,1,1,3.0,1.0,2.0,13.0,2.0
2_2_1,2,202,1,1,44,0,0,1,1,3.0,2.0,2.0,13.0,2.0
2_4_1,7,204,1,1,36,0,0,1,1,3.0,2.0,2.0,2.0,2.0
2_5_1,2,205,1,1,54,0,0,1,1,5.0,0.0,2.0,2.0,2.0
2_6_1,4,206,1,1,71,0,0,1,1,2.0,0.0,2.0,2.0,2.0
2_7_1,4,207,1,1,66,0,0,1,1,2.0,1.0,2.0,2.0,2.0
2_8_1,7,208,1,1,45,0,0,1,1,9.0,2.0,2.0,13.0,2.0
2_9_1,2,209,1,1,55,0,0,1,1,2.0,2.0,2.0,2.0,2.0
3_3_1,4,303,1,1,45,0,1,1,1,5.0,0.0,2.0,2.0,2.0
3_4_1,6,304,2,1,68,0,0,1,1,3.0,0.0,2.0,14.0,2.0
3_5_1,4,305,1,1,54,0,0,1,1,2.0,2.0,2.0,2.0,2.0
3_7_2,5,307,2,1,32,0,0,1,1,2.0,0.0,2.0,2.0,2.0
3_8_1,5,308,1,1,51,0,0,1,1,2.0,0.0,2.0,2.0,2.0
3_9_1,3,309,1,1,70,0,0,1,1,5.0,0.0,2.0,2.0,2.0
3_10_1,5,310,1,1,68,0,0,1,1,2.0,1.0,2.0,13.0,2.0
4_1_1,5,401,1,1,54,0,0,1,1,3.0,0.0,2.0,1.0,2.0
4_2_1,4,402,2,1,33,0,0,1,1,5.0,1.0,2.0,13.0,2.0
4_4_1,8,404,2,1,60,0,0,1,1,1.0,1.0,2.0,13.0,2.0
4_6_1,3,406,2,1,90,0,0,2,1,1.0,0.0,2.0,2.0,2.0
4_7_1,6,407,1,1,75,0,0,1,1,9.0,0.0,2.0,2.0,2.0
4_8_1,3,408,2,1,60,0,0,1,1,2.0,1.0,2.0,13.0,2.0
4_9_1,4,409,2,1,79,0,0,2,1,0.0,1.0,2.0,13.0,2.0
4_10_1,7,410,1,1,63,0,0,1,1,1.0,1.0,2.0,13.0,2.0
5_1_1,5,501,1,1,76,0,0,1,1,9.0,0.0,2.0,13.0,2.0
5_3_1,3,503,2,1,82,0,0,2,1,1.0,0.0,2.0,13.0,2.0
