,psu_hh_idcode,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q11,Q14,Q17,Q18,Q19
0,2_8_3,1,1,1,2.0,3.0,3.0,2.0,1.0,,1.0,,,
1,3_8_4,1,1,1,2.0,2.0,2.0,0.0,1.0,,1.0,,,
2,6_5_3,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
3,7_7_3,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
4,16_2_4,1,1,1,5.0,3.0,2.0,4.0,1.0,,1.0,,,
5,18_2_3,1,1,1,6.0,1.0,3.0,3.0,1.0,,1.0,,,
6,18_4_5,1,1,1,2.0,3.0,3.0,1.0,1.0,,1.0,,,
7,24_2_3,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
8,24_6_3,1,1,1,5.0,4.0,2.0,2.0,1.0,,1.0,,,
9,27_2_4,1,1,1,6.0,1.0,3.0,1.0,1.0,,1.0,,,
10,33_3_3,1,1,1,2.0,3.0,3.0,1.0,2.0,13.0,1.0,,,
11,37_6_4,1,1,1,6.0,1.0,3.0,3.0,1.0,,1.0,,,
12,39_8_4,1,1,1,2.0,3.0,3.0,0.0,2.0,1.0,1.0,,,
13,44_9_5,1,1,1,2.0,3.0,3.0,1.0,1.0,,1.0,,,
14,47_3_5,1,1,1,2.0,3.0,3.0,2.0,1.0,,1.0,,,
15,49_4_4,1,1,1,2.0,2.0,2.0,2.0,1.0,,1.0,,,
16,58_6_4,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
17,58_9_3,1,1,1,5.0,5.0,6.0,2.0,1.0,,1.0,,,
18,60_3_4,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
19,65_6_3,1,1,1,2.0,3.0,3.0,2.0,1.0,,1.0,,,
20,67_4_3,1,1,1,6.0,1.0,3.0,3.0,1.0,,1.0,,,
21,79_1_4,1,1,1,2.0,3.0,3.0,0.0,2.0,13.0,1.0,,,
22,89_8_3,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
23,90_2_4,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
24,95_7_3,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
25,99_7_4,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
26,100_3_4,1,1,2,,,,,,,,,,
27,103_2_2,1,1,1,2.0,3.0,3.0,0.0,2.0,1.0,1.0,,,
28,108_6_3,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
29,110_9_5,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
30,111_3_3,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
31,118_2_4,1,1,1,4.0,1.0,2.0,2.0,1.0,,1.0,,,
32,118_7_4,1,1,1,2.0,3.0,3.0,2.0,2.0,4.0,1.0,,,
33,118_11_5,1,1,1,2.0,3.0,3.0,2.0,2.0,1.0,1.0,,,
34,122_14_4,1,1,1,2.0,3.0,3.0,2.0,2.0,4.0,1.0,,,
35,136_9_4,1,1,2,,,,,,,,,,
36,139_3_3,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
37,146_6_4,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
38,150_9_3,1,1,1,2.0,2.0,2.0,0.0,1.0,,1.0,,,
39,151_4_3,1,1,1,2.0,2.0,2.0,2.0,1.0,,1.0,,,
40,156_6_4,1,1,1,4.0,2.0,2.0,0.0,1.0,,1.0,,,
41,164_4_3,1,1,1,2.0,3.0,3.0,3.0,1.0,,1.0,,,
42,169_4_4,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
43,171_5_4,1,1,1,6.0,1.0,3.0,3.0,1.0,,1.0,,,
44,172_5_3,1,1,1,5.0,4.0,2.0,2.0,1.0,,1.0,,,
45,173_1_3,1,1,1,2.0,3.0,3.0,2.0,1.0,,1.0,,,
46,177_5_4,1,1,1,2.0,3.0,3.0,2.0,1.0,,1.0,,,
47,177_11_4,1,1,1,2.0,3.0,3.0,3.0,1.0,,1.0,,,
48,178_8_4,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
49,179_6_4,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
50,182_4_4,1,1,1,2.0,3.0,3.0,0.0,2.0,1.0,1.0,,,
51,187_6_4,1,1,1,1.0,9.0,2.0,0.0,1.0,,1.0,,,
52,188_3_6,1,1,1,5.0,4.0,2.0,1.0,1.0,,1.0,,,
53,189_1_3,1,1,1,6.0,1.0,3.0,1.0,1.0,,1.0,,,
54,197_2_4,1,1,1,6.0,1.0,3.0,1.0,1.0,,1.0,,,
55,212_2_3,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
56,214_11_4,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
57,220_3_3,1,1,1,6.0,1.0,3.0,3.0,1.0,,1.0,,,
58,225_5_3,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
59,225_12_3,1,1,1,5.0,3.0,2.0,0.0,1.0,,1.0,,,
60,227_7_3,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
61,231_6_4,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
62,232_5_4,1,1,1,2.0,3.0,2.0,2.0,1.0,,1.0,,,
63,234_8_5,1,1,1,6.0,1.0,3.0,1.0,1.0,,1.0,,,
64,239_1_4,1,1,1,2.0,3.0,3.0,3.0,2.0,1.0,1.0,,,
