,psu_hh_idcode,subjectivePoverty_rating
0,30_8_1,4
1,194_1_2,1
2,224_6_1,3
3,323_10_1,5
4,428_10_1,4
5,809_6_2,3
6,138_2_1,5
7,329_1_1,2
8,409_8_1,4
9,186_4_2,5
10,688_5_1,6
11,364_6_2,3
12,528_8_1,5
13,758_4_2,7
14,647_5_2,4
15,176_7_1,3
16,328_8_1,2
17,512_8_1,6
18,431_4_1,4
19,31_8_1,5
20,174_2_3,2
21,581_7_1,1
22,60_1_1,2
23,580_9_1,1
24,742_8_1,4
25,427_7_1,5
26,589_5_1,2
27,376_4_2,5
28,452_1_1,4
29,579_2_1,1
30,223_7_1,7
31,689_7_1,8
32,797_5_1,2
33,86_2_1,4
34,203_3_1,5
35,55_4_1,5
36,575_5_1,7
37,731_7_1,7
38,482_3_1,8
39,751_9_1,4
40,147_8_1,5
41,185_6_1,1
42,477_8_1,5
43,262_1_1,7
44,599_1_1,7
45,773_4_2,2
46,409_2_1,4
47,311_5_1,5
48,386_7_1,2
49,62_4_2,7
50,262_6_1,8
51,507_4_1,4
52,377_4_1,3
53,305_1_1,5
54,398_8_1,6
55,322_5_1,5
56,161_2_2,2
57,361_5_1,4
58,390_4_1,2
59,640_7_2,4
60,480_3_1,6
61,28_2_1,4
62,69_1_1,2
63,197_2_1,3
64,750_9_2,3
65,367_3_1,2
66,329_6_1,3
67,829_1_2,5
68,710_12_1,6
69,235_8_1,3
70,517_3_1,7
71,378_4_1,3
72,146_5_1,4
73,379_5_1,3
74,391_5_1,5
75,339_2_2,5
76,507_8_1,5
77,464_7_3,6
78,381_6_1,8
79,751_3_7,8
80,601_6_1,4
81,685_2_1,4
82,624_2_2,5
83,664_11_1,3
84,777_2_2,6
85,751_5_1,4
86,322_11_1,5
87,403_5_2,6
88,803_4_1,5
89,145_2_1,5
90,392_4_1,5
91,59_6_1,3
92,829_8_2,6
93,270_4_2,6
94,660_6_1,1
95,63_8_1,5
96,371_11_1,9
97,301_10_1,4
98,286_8_2,7
99,333_2_1,5
100,121_2_1,5
101,284_8_1,6
102,648_7_1,5
103,67_10_1,2
104,585_2_1,5
105,147_9_1,5
106,519_2_1,5
107,496_8_1,8
108,733_8_1,2
